post_url,post_content,comment
https://x.com/mauro_davi6/status/1939422509360664658,GOOOOOOOOOOOOOOOOOOOOLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL é o FRAMENGOOOOOOOOOOOOOOOOOOOOOOO,Pra quem fez faculdade em escrever Framengo é sacanagem
https://x.com/mauro_davi6/status/1939422509360664658,GOOOOOOOOOOOOOOOOOOOOLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL é o FRAMENGOOOOOOOOOOOOOOOOOOOOOOO,Quem fez o gol?
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,bandido de terno? ja vi aos montes menó
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,Estão lindos sssiiimmmm.O resto é só inveja do povo  mesmo!
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,essa mulher é bizarra de linda
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,eu amo que ela é pura eleganciaaaaaa
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,a mulher mais gata do brasil é a fefeu
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,"Inimiga da CLT... 

Inacreditável o q umas mulheres se submetem p não ter q trabalhar, tudo por uma vida de luxo, mesmo q tenha q dar p um viciado desse e ainda fingir."
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,"Olhem essa mulher, olhe esse crápula"
https://x.com/mauro_davi6/status/1944481824132186170/photo/2,Estilo neurótico,cade o papai?
https://x.com/mauro_davi6/status/1947073489178862002/photo/1,,Como você pode ser tão feio ?? Que ódio
https://x.com/mauro_davi6/status/1947073489178862002/photo/1,,.
https://x.com/mauro_davi6/status/1947073489178862002/photo/1,,"Sim, oportunidade rara de valor real. Seu impacto brilha no Kaito eco agora."
https://x.com/mauro_davi6/status/1947073489178862002/photo/1,,"Jair , venceu mais uma , novamente"
https://x.com/mauro_davi6/status/1947073489178862002/photo/1,,Ela vai estar esperando você e o marginal do seu pai no colo do CAPETA
https://x.com/mauro_davi6/status/1939724359259521044,Brabo,"No caso aqui é o Oruam ou Mauro me elogiando? Kkkkkkkkk valeu cria, fumar 70 de ice com flor na estrela da Penha qualquer dia"
https://x.com/mauro_davi6/status/1939724359259521044,Brabo,to sem mistura em casa mas o chip do macaco segue travado
https://x.com/mauro_davi6/status/1939724359259521044,Brabo,"fortalece os 100 do ice aí Mauro… já vendi tudo q tinha aqui em casa, tá foda"
https://x.com/mauro_davi6/status/1939724359259521044,Brabo,faz o pix da intera do ice ae maurin
https://x.com/mauro_davi6/status/1939724359259521044,Brabo,"Como se fosse fácil pro mlk da favela viver fumando ice né kkk bag eh caro, eu gasto uns mil por semana"
https://x.com/mauro_davi6/status/1939422321942335644,É o Flamengo porra é o coringa,Tmnc Oruam vc é torcedor modinha antes de ficar famoso nem ligava uma televisão pra ver futebol  quer mamar o Gerson agora
https://x.com/mauro_davi6/status/1939422321942335644,É o Flamengo porra é o coringa,"Não fode cara, não fode"
https://x.com/mauro_davi6/status/1939422321942335644,É o Flamengo porra é o coringa,Sai da Hello kitty
https://x.com/mauro_davi6/status/1939422321942335644,É o Flamengo porra é o coringa,An do oruam
https://x.com/mauro_davi6/status/1939422321942335644,É o Flamengo porra é o coringa,Aindaaaaa
https://x.com/mauro_davi6/status/1939422321942335644,É o Flamengo porra é o coringa,Cuzão
https://x.com/mauro_davi6/status/1939415439055970545,Tá nervoso arrombado filha da puta,Calma Mauro kkkkk toma jack kkkkk
https://x.com/mauro_davi6/status/1939415439055970545,Tá nervoso arrombado filha da puta,GOOOOOOLL
https://x.com/mauro_davi6/status/1939415439055970545,Tá nervoso arrombado filha da puta,Calma  mocinho
https://x.com/mauro_davi6/status/1939415439055970545,Tá nervoso arrombado filha da puta,kkkkkkkkkkkkkkkkkkkk
https://x.com/mauro_davi6/status/1939415439055970545,Tá nervoso arrombado filha da puta,An an an kkkkkkkk
https://x.com/mauro_davi6/status/1939415439055970545,Tá nervoso arrombado filha da puta,4x1 Pro Bayer meu padrinho
https://x.com/mauro_davi6/status/1939415439055970545,Tá nervoso arrombado filha da puta,7x1 certeza
https://x.com/mauro_davi6/status/1939415439055970545,Tá nervoso arrombado filha da puta,"Bandido chorando, eu feliz"
https://x.com/mauro_davi6/status/1939415439055970545,Tá nervoso arrombado filha da puta,Desculpa Mauro
https://x.com/mauro_davi6/status/1939415439055970545,Tá nervoso arrombado filha da puta,kkkkkkkkkk chora não arrombado
https://x.com/mauro_davi6/status/1944481824132186170/photo/1,essa mulher é bizarra de linda,"Quem não pode erra é você Oruam, casal topp da porra!!"
https://x.com/mauro_davi6/status/1944481824132186170/photo/1,essa mulher é bizarra de linda,"Olhem essa mulher, olhe esse crápula"
https://x.com/mauro_davi6/status/1944481824132186170/photo/1,essa mulher é bizarra de linda,Esse macaquinho é filho de quem ?
https://x.com/mauro_davi6/status/1944481824132186170/photo/1,essa mulher é bizarra de linda,Estilo neurótico
https://x.com/mauro_davi6/status/1944481824132186170/photo/1,essa mulher é bizarra de linda,bandido de terno? ja vi aos montes menó
https://x.com/mauro_davi6/status/1944481824132186170/photo/1,essa mulher é bizarra de linda,"Inimiga da CLT... 

Inacreditável o q umas mulheres se submetem p não ter q trabalhar, tudo por uma vida de luxo, mesmo q tenha q dar p um viciado desse e ainda fingir."
https://x.com/mauro_davi6/status/1944481824132186170/photo/1,essa mulher é bizarra de linda,eu amo que ela é pura eleganciaaaaaa
https://x.com/mauro_davi6/status/1944481824132186170/photo/1,essa mulher é bizarra de linda,Jigolô por acidente
https://x.com/mauro_davi6/status/1944481824132186170/photo/1,essa mulher é bizarra de linda,cade o papai?
https://x.com/mauro_davi6/status/1958654933600993435/photo/1,"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.",Estragou meu dia com essa informação
https://x.com/mauro_davi6/status/1958654933600993435/photo/1,"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.","Não é cada um com seus BO?

Faz parecer que quer geral pulando na bala dele"
https://x.com/mauro_davi6/status/1958654933600993435/photo/1,"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.","Ainda, se ele moscar na minha frente eu vou encher ele de furo"
https://x.com/mauro_davi6/status/1958654933600993435/photo/1,"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.",ELE ESTÁ NO DESERTO. VAI VOLTAR MAIS FORTE.
https://x.com/mauro_davi6/status/1958654933600993435/photo/1,"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.",Devia é matar essa praga
https://x.com/mauro_davi6/status/1958654933600993435/photo/1,"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.",Mientras no cante mas que este dónde sea
https://x.com/mauro_davi6/status/1958654933600993435/photo/1,"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.",Bandidos bom é bandidos m..........????????
https://x.com/mauro_davi6/status/1958654933600993435/photo/1,"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.",Que continue preso por muito tempo
https://x.com/mauro_davi6/status/1958654933600993435/photo/1,"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.","Hoje faz um mês que está preso, cadê os amigos de copo, os trem do ódio, os amigos de sampa? Abandonou geral, amigos sua família mãe, pa,i irmãos,  Esposa que resto do resto."
https://x.com/mauro_davi6/status/1958654933600993435/photo/1,"Pessoal te esqueceu na cadeia kkkkk
Mas entendo querem que vc passe mais tempo com seu pai.","@grok
 qual a chance do Oruam ser condenado e continuar preso ?"
